@relation credit_g_part1
@attribute checking_status{0_X_200,_0,_200,no_checking}
@attribute credit_history{all_paid,critical_other_existing_credit,delayed_previously,existing_paid,no_credits_all_paid}
@attribute credit_amount real
@attribute employment{1_X_4,4_X_7,_1,_7,unemployed}
@attribute housing{for_free,own,rent}
@attribute age real
@attribute personal_status{female_div_dep_mar,male_div_sep,male_mar_wid,male_single}
@attribute job{high_qualif_self_emp_mgmt,skilled,unemp_unskilled_non_res,unskilled_resident}
@attribute own_telephone{none,yes}
@attribute residence_since real
@attribute class{bad,good}
@data
"no_checking","all_paid",3447.0,"1_X_4","own",35.0,"female_div_dep_mar","unskilled_resident","none",3.0,"good"
"no_checking","existing_paid",1258.0,"4_X_7","own",25.0,"male_single","skilled","yes",1.0,"good"
"no_checking","critical_other_existing_credit",717.0,"_7","own",52.0,"male_single","skilled","none",4.0,"good"
"no_checking","no_credits_all_paid",1204.0,"1_X_4","rent",35.0,"male_single","skilled","none",1.0,"good"
"_200","existing_paid",1925.0,"1_X_4","own",26.0,"male_single","skilled","none",2.0,"good"
"no_checking","existing_paid",433.0,"unemployed","rent",22.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"_0","critical_other_existing_credit",666.0,"4_X_7","own",39.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"good"
"_200","existing_paid",2251.0,"1_X_4","own",46.0,"female_div_dep_mar","unskilled_resident","none",2.0,"good"
"0_X_200","existing_paid",2150.0,"1_X_4","own",24.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"no_checking","delayed_previously",4151.0,"1_X_4","own",35.0,"male_single","skilled","none",3.0,"good"
"0_X_200","existing_paid",2030.0,"4_X_7","own",24.0,"male_single","skilled","yes",1.0,"good"
"0_X_200","delayed_previously",7418.0,"1_X_4","own",27.0,"male_single","unskilled_resident","none",1.0,"good"
"no_checking","critical_other_existing_credit",2684.0,"1_X_4","own",35.0,"male_single","unskilled_resident","none",2.0,"good"
"_0","all_paid",2149.0,"1_X_4","for_free",29.0,"male_div_sep","skilled","none",1.0,"bad"
"no_checking","existing_paid",3812.0,"_1","own",23.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",1154.0,"unemployed","own",57.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"_0","existing_paid",1657.0,"1_X_4","own",27.0,"male_single","skilled","none",2.0,"good"
"_0","existing_paid",1603.0,"_7","own",55.0,"female_div_dep_mar","skilled","none",4.0,"good"
"_0","critical_other_existing_credit",5302.0,"_7","for_free",36.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","critical_other_existing_credit",2748.0,"_7","for_free",57.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",1231.0,"_7","own",32.0,"male_single","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",802.0,"_7","own",37.0,"male_single","skilled","none",3.0,"bad"
"no_checking","critical_other_existing_credit",6304.0,"_7","own",36.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",1533.0,"_1","own",38.0,"female_div_dep_mar","skilled","yes",3.0,"good"
"_0","existing_paid",8978.0,"_7","own",45.0,"male_div_sep","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"no_checking","existing_paid",999.0,"_7","own",25.0,"male_single","skilled","none",2.0,"good"
"no_checking","existing_paid",2662.0,"4_X_7","own",32.0,"male_single","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",1402.0,"4_X_7","rent",37.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"0_X_200","all_paid",12169.0,"unemployed","for_free",36.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"0_X_200","existing_paid",3060.0,"4_X_7","own",28.0,"male_single","skilled","none",4.0,"bad"
"_0","existing_paid",11998.0,"_1","own",34.0,"male_div_sep","unskilled_resident","yes",1.0,"bad"
"no_checking","existing_paid",2697.0,"1_X_4","own",32.0,"male_single","skilled","none",2.0,"good"
"no_checking","critical_other_existing_credit",2404.0,"1_X_4","own",26.0,"female_div_dep_mar","skilled","none",2.0,"good"
"_0","existing_paid",1262.0,"_7","own",49.0,"male_div_sep","unskilled_resident","yes",4.0,"good"
"no_checking","existing_paid",4611.0,"_1","own",32.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"no_checking","existing_paid",1901.0,"1_X_4","rent",29.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","critical_other_existing_credit",3368.0,"_7","rent",23.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",1574.0,"1_X_4","own",50.0,"male_single","skilled","none",2.0,"good"
"_200","all_paid",1445.0,"4_X_7","own",49.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",1520.0,"_7","own",63.0,"male_single","skilled","none",4.0,"good"
"0_X_200","critical_other_existing_credit",3878.0,"_1","own",37.0,"male_div_sep","skilled","yes",2.0,"good"
"_0","existing_paid",10722.0,"_1","own",35.0,"female_div_dep_mar","unskilled_resident","yes",1.0,"good"
"_0","existing_paid",4788.0,"4_X_7","own",26.0,"male_single","skilled","none",3.0,"good"
"0_X_200","delayed_previously",7582.0,"unemployed","for_free",31.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"0_X_200","existing_paid",1092.0,"1_X_4","own",49.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"_0","delayed_previously",1024.0,"_1","own",48.0,"male_mar_wid","skilled","none",4.0,"bad"
"no_checking","existing_paid",1076.0,"1_X_4","own",26.0,"male_mar_wid","skilled","yes",2.0,"good"
"0_X_200","existing_paid",9398.0,"_1","rent",28.0,"male_mar_wid","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"_0","critical_other_existing_credit",6419.0,"_7","for_free",44.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_200","critical_other_existing_credit",4796.0,"_7","for_free",56.0,"male_single","skilled","none",4.0,"good"
"no_checking","critical_other_existing_credit",7629.0,"_7","own",46.0,"male_div_sep","high_qualif_self_emp_mgmt","none",2.0,"good"
"0_X_200","existing_paid",9960.0,"_1","own",26.0,"female_div_dep_mar","skilled","yes",2.0,"bad"
"no_checking","existing_paid",4675.0,"_1","rent",20.0,"female_div_dep_mar","skilled","none",4.0,"good"
"no_checking","existing_paid",1287.0,"_7","own",45.0,"male_single","unskilled_resident","none",2.0,"good"
"no_checking","existing_paid",2515.0,"1_X_4","own",43.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",2745.0,"4_X_7","own",32.0,"male_single","skilled","yes",2.0,"good"
"no_checking","existing_paid",672.0,"unemployed","own",54.0,"female_div_dep_mar","unemp_unskilled_non_res","yes",4.0,"good"
"0_X_200","no_credits_all_paid",3804.0,"1_X_4","own",42.0,"female_div_dep_mar","skilled","yes",1.0,"bad"
"_200","critical_other_existing_credit",1344.0,"4_X_7","own",37.0,"male_single","unskilled_resident","none",2.0,"bad"
"_0","critical_other_existing_credit",1038.0,"4_X_7","own",49.0,"male_single","skilled","yes",3.0,"good"
"no_checking","critical_other_existing_credit",10127.0,"1_X_4","for_free",44.0,"male_single","skilled","none",2.0,"bad"
"no_checking","existing_paid",1543.0,"1_X_4","own",33.0,"male_div_sep","skilled","none",2.0,"good"
"no_checking","existing_paid",4811.0,"4_X_7","rent",24.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"_0","existing_paid",727.0,"_1","own",33.0,"male_mar_wid","unskilled_resident","yes",3.0,"bad"
"0_X_200","existing_paid",1237.0,"1_X_4","own",24.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"0_X_200","existing_paid",276.0,"1_X_4","rent",22.0,"male_mar_wid","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",5381.0,"unemployed","for_free",40.0,"male_single","unemp_unskilled_non_res","yes",4.0,"good"
"no_checking","existing_paid",5511.0,"1_X_4","own",25.0,"male_single","skilled","none",1.0,"good"
"_200","existing_paid",3749.0,"_1","own",26.0,"female_div_dep_mar","skilled","none",4.0,"good"
"0_X_200","existing_paid",685.0,"4_X_7","own",25.0,"male_mar_wid","unskilled_resident","none",3.0,"bad"
"_200","existing_paid",1494.0,"_1","own",29.0,"male_single","unskilled_resident","none",2.0,"good"
"_0","all_paid",2746.0,"_7","own",31.0,"male_single","skilled","none",4.0,"bad"
"_0","existing_paid",708.0,"1_X_4","own",38.0,"male_single","unskilled_resident","none",3.0,"good"
"0_X_200","existing_paid",4351.0,"1_X_4","own",48.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"good"
"no_checking","critical_other_existing_credit",701.0,"1_X_4","own",32.0,"male_single","skilled","none",2.0,"good"
"_0","delayed_previously",3643.0,"_7","own",27.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"0_X_200","critical_other_existing_credit",4249.0,"unemployed","own",28.0,"male_mar_wid","high_qualif_self_emp_mgmt","none",2.0,"bad"
"_0","existing_paid",1938.0,"_1","own",32.0,"male_div_sep","skilled","none",3.0,"bad"
"_0","existing_paid",2910.0,"4_X_7","for_free",34.0,"male_single","high_qualif_self_emp_mgmt","yes",1.0,"good"
"_0","existing_paid",2659.0,"1_X_4","own",28.0,"male_single","skilled","none",2.0,"good"
"no_checking","critical_other_existing_credit",1028.0,"1_X_4","own",36.0,"female_div_dep_mar","skilled","none",3.0,"good"
"_0","critical_other_existing_credit",3398.0,"4_X_7","own",39.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",5801.0,"_7","rent",49.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",1525.0,"4_X_7","own",34.0,"female_div_dep_mar","skilled","yes",3.0,"good"
"_200","existing_paid",4473.0,"_7","own",31.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",1068.0,"_7","own",28.0,"male_single","skilled","none",4.0,"good"
"_0","critical_other_existing_credit",6615.0,"unemployed","for_free",75.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","critical_other_existing_credit",1864.0,"1_X_4","own",30.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"0_X_200","existing_paid",7408.0,"_1","own",24.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","none",2.0,"bad"
"no_checking","critical_other_existing_credit",11590.0,"1_X_4","rent",24.0,"female_div_dep_mar","unskilled_resident","none",4.0,"bad"
"_0","no_credits_all_paid",4110.0,"_7","rent",23.0,"male_single","skilled","none",4.0,"bad"
"_0","critical_other_existing_credit",3384.0,"1_X_4","rent",44.0,"male_div_sep","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"0_X_200","existing_paid",2101.0,"_1","own",23.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"_0","existing_paid",1275.0,"1_X_4","rent",24.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"_0","existing_paid",4169.0,"1_X_4","own",28.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",1521.0,"1_X_4","own",31.0,"male_div_sep","unskilled_resident","none",2.0,"good"
"0_X_200","critical_other_existing_credit",5743.0,"_1","for_free",24.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"_0","existing_paid",3599.0,"4_X_7","rent",26.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",3213.0,"_1","rent",25.0,"male_mar_wid","skilled","none",3.0,"good"
"0_X_200","existing_paid",4439.0,"_7","own",33.0,"male_single","high_qualif_self_emp_mgmt","yes",1.0,"good"
"_200","existing_paid",3949.0,"_1","own",37.0,"male_single","unskilled_resident","none",1.0,"good"
"no_checking","critical_other_existing_credit",1459.0,"1_X_4","own",43.0,"female_div_dep_mar","unskilled_resident","none",2.0,"good"
"0_X_200","critical_other_existing_credit",882.0,"_1","own",23.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",3758.0,"unemployed","rent",23.0,"female_div_dep_mar","unemp_unskilled_non_res","none",4.0,"good"
"no_checking","delayed_previously",1743.0,"1_X_4","own",34.0,"male_single","unskilled_resident","none",2.0,"good"
"0_X_200","critical_other_existing_credit",1136.0,"_7","for_free",32.0,"male_single","skilled","none",3.0,"bad"
"no_checking","existing_paid",1236.0,"_1","rent",23.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"0_X_200","existing_paid",959.0,"1_X_4","own",29.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"no_checking","critical_other_existing_credit",3229.0,"unemployed","own",38.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","no_credits_all_paid",6199.0,"1_X_4","rent",28.0,"male_single","skilled","yes",2.0,"bad"
"no_checking","existing_paid",727.0,"_7","for_free",46.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","existing_paid",1246.0,"_1","own",23.0,"male_single","unskilled_resident","none",2.0,"bad"
"no_checking","critical_other_existing_credit",2331.0,"_7","own",49.0,"male_single","skilled","yes",4.0,"good"
"no_checking","delayed_previously",4463.0,"1_X_4","own",26.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"no_checking","existing_paid",776.0,"1_X_4","own",28.0,"male_mar_wid","skilled","none",2.0,"good"
"_0","existing_paid",2406.0,"4_X_7","rent",23.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"0_X_200","existing_paid",1239.0,"1_X_4","for_free",61.0,"male_single","skilled","none",4.0,"good"
"_200","existing_paid",3399.0,"_7","own",37.0,"male_single","high_qualif_self_emp_mgmt","none",3.0,"good"
"_200","delayed_previously",2247.0,"1_X_4","own",36.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"no_checking","existing_paid",1766.0,"1_X_4","rent",21.0,"male_mar_wid","skilled","none",2.0,"good"
"_0","existing_paid",2473.0,"unemployed","own",25.0,"male_single","unemp_unskilled_non_res","none",1.0,"bad"
"no_checking","existing_paid",1542.0,"4_X_7","own",36.0,"male_single","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",3850.0,"4_X_7","own",27.0,"male_single","skilled","none",1.0,"good"
"_0","existing_paid",3650.0,"_1","rent",22.0,"female_div_dep_mar","skilled","none",4.0,"good"
"_0","existing_paid",3446.0,"_7","own",42.0,"male_single","skilled","none",2.0,"bad"
"0_X_200","existing_paid",3001.0,"4_X_7","rent",40.0,"female_div_dep_mar","skilled","none",4.0,"good"
"no_checking","existing_paid",3079.0,"1_X_4","own",36.0,"male_single","skilled","none",4.0,"good"
"no_checking","critical_other_existing_credit",6070.0,"_7","own",33.0,"male_single","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",2146.0,"_1","rent",23.0,"female_div_dep_mar","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",13756.0,"_7","for_free",63.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"0_X_200","all_paid",14782.0,"_7","for_free",60.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"_0","all_paid",7685.0,"4_X_7","rent",37.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"no_checking","delayed_previously",2320.0,"unemployed","own",34.0,"male_mar_wid","skilled","none",3.0,"good"
"no_checking","delayed_previously",846.0,"_7","for_free",36.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",14318.0,"_7","for_free",57.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"no_checking","critical_other_existing_credit",362.0,"1_X_4","own",52.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"_0","existing_paid",2212.0,"4_X_7","own",39.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","existing_paid",12976.0,"unemployed","for_free",38.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"no_checking","existing_paid",1283.0,"4_X_7","rent",25.0,"female_div_dep_mar","skilled","none",4.0,"good"
"_200","existing_paid",1330.0,"_1","own",26.0,"male_single","skilled","none",1.0,"good"
"no_checking","delayed_previously",4272.0,"1_X_4","own",26.0,"male_single","unskilled_resident","none",2.0,"good"
"no_checking","critical_other_existing_credit",2238.0,"1_X_4","own",25.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","existing_paid",1126.0,"_1","rent",21.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"0_X_200","critical_other_existing_credit",7374.0,"unemployed","own",40.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",2326.0,"1_X_4","own",27.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",1449.0,"4_X_7","own",27.0,"female_div_dep_mar","skilled","none",2.0,"good"
"no_checking","existing_paid",1820.0,"1_X_4","own",30.0,"male_mar_wid","high_qualif_self_emp_mgmt","yes",2.0,"good"
"0_X_200","existing_paid",983.0,"_1","rent",19.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"_0","existing_paid",3249.0,"4_X_7","for_free",39.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","critical_other_existing_credit",1957.0,"4_X_7","own",31.0,"female_div_dep_mar","skilled","none",4.0,"good"
"no_checking","critical_other_existing_credit",2406.0,"unemployed","own",31.0,"male_single","high_qualif_self_emp_mgmt","none",3.0,"good"
"0_X_200","delayed_previously",11760.0,"4_X_7","rent",32.0,"male_single","skilled","yes",3.0,"good"
"_0","existing_paid",2578.0,"unemployed","for_free",55.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","none",4.0,"good"
"_0","critical_other_existing_credit",2348.0,"1_X_4","own",46.0,"male_mar_wid","skilled","yes",2.0,"good"
"0_X_200","existing_paid",1223.0,"_7","rent",46.0,"male_div_sep","skilled","none",1.0,"bad"
"no_checking","critical_other_existing_credit",1516.0,"1_X_4","own",43.0,"female_div_dep_mar","unskilled_resident","none",1.0,"good"
"no_checking","existing_paid",1473.0,"_1","own",39.0,"male_mar_wid","skilled","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",1887.0,"1_X_4","own",28.0,"male_mar_wid","skilled","none",4.0,"good"
"no_checking","delayed_previously",8648.0,"_1","own",27.0,"male_single","skilled","yes",2.0,"bad"
"no_checking","delayed_previously",802.0,"1_X_4","own",27.0,"male_single","unskilled_resident","none",2.0,"good"
"0_X_200","delayed_previously",2899.0,"_7","own",43.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",2039.0,"_1","own",22.0,"male_mar_wid","skilled","yes",1.0,"bad"
"no_checking","critical_other_existing_credit",2197.0,"4_X_7","own",43.0,"male_single","skilled","yes",4.0,"good"
"_0","existing_paid",1053.0,"_1","own",27.0,"male_mar_wid","skilled","none",2.0,"good"
"no_checking","existing_paid",3235.0,"_7","own",26.0,"male_div_sep","high_qualif_self_emp_mgmt","yes",2.0,"good"
"_200","critical_other_existing_credit",939.0,"4_X_7","own",28.0,"male_mar_wid","skilled","yes",2.0,"bad"
"0_X_200","existing_paid",1967.0,"_7","own",20.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",7253.0,"4_X_7","own",35.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"no_checking","critical_other_existing_credit",2292.0,"unemployed","own",42.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"no_checking","existing_paid",1597.0,"1_X_4","rent",40.0,"male_single","unskilled_resident","none",2.0,"good"
"_0","existing_paid",1381.0,"1_X_4","own",35.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"no_checking","critical_other_existing_credit",5842.0,"_7","own",35.0,"male_single","skilled","yes",2.0,"good"
"_0","existing_paid",2579.0,"_1","own",33.0,"male_single","unskilled_resident","none",1.0,"bad"
"_0","delayed_previously",8471.0,"1_X_4","rent",23.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"no_checking","existing_paid",2782.0,"4_X_7","own",31.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","none",2.0,"good"
"0_X_200","existing_paid",1042.0,"1_X_4","own",33.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"no_checking","existing_paid",3186.0,"4_X_7","rent",20.0,"female_div_dep_mar","skilled","none",3.0,"good"
"0_X_200","existing_paid",2028.0,"1_X_4","own",30.0,"male_single","skilled","none",2.0,"good"
"0_X_200","critical_other_existing_credit",958.0,"4_X_7","own",47.0,"male_single","unskilled_resident","none",3.0,"good"
"no_checking","delayed_previously",1591.0,"4_X_7","own",34.0,"male_single","high_qualif_self_emp_mgmt","none",3.0,"good"
"0_X_200","existing_paid",2762.0,"_7","own",25.0,"female_div_dep_mar","skilled","yes",2.0,"bad"
"0_X_200","existing_paid",2779.0,"1_X_4","rent",21.0,"male_mar_wid","skilled","yes",3.0,"good"
"no_checking","critical_other_existing_credit",2743.0,"_7","own",29.0,"male_single","skilled","none",2.0,"good"
"no_checking","critical_other_existing_credit",1149.0,"1_X_4","own",46.0,"male_single","skilled","none",3.0,"good"
"no_checking","existing_paid",1313.0,"_7","own",20.0,"male_single","skilled","none",4.0,"good"
"_0","critical_other_existing_credit",1190.0,"unemployed","for_free",55.0,"female_div_dep_mar","unemp_unskilled_non_res","none",4.0,"bad"
"no_checking","existing_paid",3448.0,"4_X_7","own",74.0,"male_single","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",11328.0,"1_X_4","own",29.0,"male_single","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"_0","critical_other_existing_credit",1872.0,"unemployed","for_free",36.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","critical_other_existing_credit",2058.0,"1_X_4","own",33.0,"male_div_sep","skilled","yes",2.0,"good"
"_0","existing_paid",2136.0,"1_X_4","own",25.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",1484.0,"1_X_4","own",25.0,"male_mar_wid","skilled","yes",1.0,"bad"
"no_checking","existing_paid",660.0,"4_X_7","rent",23.0,"male_mar_wid","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",1287.0,"_7","own",37.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"_0","critical_other_existing_credit",3394.0,"unemployed","own",65.0,"male_single","unemp_unskilled_non_res","none",4.0,"good"
"_200","all_paid",609.0,"_1","own",26.0,"female_div_dep_mar","unemp_unskilled_non_res","none",1.0,"bad"
"no_checking","existing_paid",1884.0,"_7","own",39.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","existing_paid",1620.0,"1_X_4","own",30.0,"female_div_dep_mar","skilled","none",3.0,"good"
"0_X_200","delayed_previously",2629.0,"1_X_4","own",29.0,"male_single","skilled","yes",3.0,"good"
"no_checking","existing_paid",719.0,"_7","own",41.0,"male_single","unskilled_resident","none",4.0,"bad"
"0_X_200","critical_other_existing_credit",5096.0,"1_X_4","own",30.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"no_checking","critical_other_existing_credit",1244.0,"_7","rent",41.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"_0","existing_paid",1842.0,"_1","own",34.0,"female_div_dep_mar","skilled","yes",4.0,"bad"
"0_X_200","existing_paid",2576.0,"1_X_4","own",35.0,"male_single","skilled","none",2.0,"good"
"_200","existing_paid",1424.0,"_7","own",55.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"good"
"0_X_200","delayed_previously",1512.0,"1_X_4","own",61.0,"male_mar_wid","skilled","none",3.0,"bad"
"no_checking","critical_other_existing_credit",11054.0,"1_X_4","own",30.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"no_checking","existing_paid",518.0,"1_X_4","own",29.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","no_credits_all_paid",2759.0,"_7","own",34.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",2670.0,"_7","own",35.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","existing_paid",4817.0,"4_X_7","own",31.0,"male_single","skilled","yes",3.0,"bad"
"no_checking","existing_paid",2679.0,"_1","own",29.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",1.0,"good"
"_0","critical_other_existing_credit",3905.0,"1_X_4","rent",36.0,"male_single","skilled","none",2.0,"good"
"_0","existing_paid",3386.0,"_7","for_free",35.0,"male_single","skilled","yes",4.0,"bad"
"_0","existing_paid",343.0,"_1","own",27.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","existing_paid",4594.0,"_1","own",32.0,"male_single","skilled","yes",2.0,"good"
"_0","existing_paid",3620.0,"1_X_4","own",37.0,"male_single","skilled","none",2.0,"good"
"_0","existing_paid",1721.0,"_1","own",36.0,"male_single","skilled","none",3.0,"good"
"0_X_200","existing_paid",3017.0,"_1","rent",34.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","none",1.0,"good"
"0_X_200","existing_paid",754.0,"_7","own",38.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",1950.0,"4_X_7","own",34.0,"male_single","skilled","yes",1.0,"good"
"_0","existing_paid",2924.0,"1_X_4","own",63.0,"male_single","skilled","yes",4.0,"good"
"_0","delayed_previously",1659.0,"_1","rent",29.0,"female_div_dep_mar","unskilled_resident","yes",2.0,"bad"
"no_checking","delayed_previously",7238.0,"_7","own",32.0,"male_single","skilled","none",3.0,"good"
"no_checking","delayed_previously",2764.0,"1_X_4","own",26.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"no_checking","delayed_previously",4679.0,"4_X_7","own",35.0,"male_single","unskilled_resident","yes",3.0,"good"
"0_X_200","existing_paid",3092.0,"_1","rent",22.0,"male_mar_wid","skilled","yes",2.0,"bad"
"_0","existing_paid",448.0,"_1","own",23.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"_0","existing_paid",654.0,"1_X_4","own",28.0,"male_single","unskilled_resident","none",3.0,"bad"
"no_checking","existing_paid",1238.0,"unemployed","own",36.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",1245.0,"1_X_4","own",33.0,"male_mar_wid","skilled","none",2.0,"bad"
"_0","no_credits_all_paid",3114.0,"_1","rent",26.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"no_checking","existing_paid",2569.0,"1_X_4","own",24.0,"male_single","skilled","none",4.0,"good"
"_200","existing_paid",5152.0,"4_X_7","own",25.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",1037.0,"4_X_7","own",39.0,"male_single","unskilled_resident","none",4.0,"good"
"_0","critical_other_existing_credit",1478.0,"_7","own",44.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",3573.0,"1_X_4","own",23.0,"female_div_dep_mar","unskilled_resident","none",1.0,"good"
"0_X_200","existing_paid",1201.0,"_1","own",26.0,"male_single","skilled","none",1.0,"good"
"_0","existing_paid",3622.0,"_7","rent",57.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","delayed_previously",960.0,"4_X_7","own",30.0,"female_div_dep_mar","skilled","none",2.0,"good"
"no_checking","critical_other_existing_credit",1163.0,"1_X_4","own",44.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","delayed_previously",1209.0,"unemployed","own",47.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"no_checking","existing_paid",3077.0,"1_X_4","own",52.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",3757.0,"_7","for_free",62.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","existing_paid",1418.0,"1_X_4","rent",35.0,"male_single","unskilled_resident","none",2.0,"good"
"no_checking","existing_paid",3518.0,"1_X_4","rent",26.0,"male_single","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",1934.0,"_7","own",26.0,"male_single","skilled","none",2.0,"good"
